Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,FF,FR,II,NP,PP,Total
AE 726,Main,4.0,8.0,,,9.0,7.0,7.0,3.0,,,3.0,,,,41
AE 727,Main,13.0,,,,,,,1.0,,,,,,,14
AE 775,Main,2.0,3.0,,,2.0,8.0,5.0,2.0,2.0,,1.0,,,,25
AE 899,Main,,,,,,,,,,,,,,12.0,12
AES801,Main,6.0,3.0,,,1.0,1.0,,,,,,,,,11
AES802,Main,,1.0,,,,,,,,,,,,,1
BB 101,D1,11.0,43.0,4.0,,65.0,69.0,32.0,10.0,3.0,,1.0,1.0,,,239
BB 101,D3,16.0,34.0,2.0,,55.0,30.0,18.0,9.0,5.0,,1.0,,,,170
BB 101,S1,58.0,51.0,2.0,1.0,48.0,37.0,15.0,10.0,4.0,,16.0,,,,242
BB 402,Main,3.0,2.0,,,4.0,7.0,10.0,6.0,1.0,,1.0,1.0,,,35
BB 405,Main,6.0,16.0,,,14.0,2.0,1.0,,,,1.0,,,,40
BB 405,M,,1.0,,,1.0,,1.0,,,,,,,,3
BB 414,Main,8.0,2.0,,,1.0,,,,,,,,,,11
BB 421,Main,8.0,15.0,,,10.0,,,,,,,,,,33
BB 454,Main,13.0,12.0,,3.0,4.0,,,,,,,,,,32
BB 505,Main,3.0,15.0,,,11.0,10.0,1.0,,,,,,,,40
BB 519,Main,14.0,14.0,,,3.0,1.0,,,,,,1.0,,,33
BB 521,Main,3.0,5.0,,,13.0,17.0,6.0,,,,3.0,,,,47
BB 521,M,2.0,,,,,,,,,,1.0,,,,3
BB 523,Main,10.0,8.0,,,7.0,3.0,4.0,,,,1.0,,,,33
BB 525,Main,9.0,6.0,,,5.0,10.0,2.0,,,,1.0,,,,33
BB 527,Main,17.0,10.0,,,5.0,1.0,,,,,,,,,33
BB 529,Main,26.0,5.0,,,2.0,,,,,,,,,,33
BB 535,Main,8.0,8.0,,1.0,6.0,3.0,1.0,,,,1.0,,,,28
BB 553,Main,14.0,13.0,,,10.0,9.0,,,1.0,,1.0,,,,48
BB 553,M,,1.0,,,2.0,,,,,,,,,,3
BB 600,Main,4.0,8.0,,,10.0,7.0,6.0,,,,,,,,35
BB 600,M,,,,,,,2.0,,,,,,,,2
BB 601,Main,44.0,55.0,,1.0,40.0,17.0,6.0,,,,,,,,163
BB 603,Main,13.0,13.0,1.0,,28.0,24.0,14.0,6.0,4.0,,,,,,103
BB 603,M,,,,,2.0,1.0,,1.0,1.0,,,,,,5
BB 607,Main,10.0,8.0,,,9.0,1.0,1.0,,,,,3.0,,,32
BB 617,Main,8.0,7.0,,,4.0,,,,,,,,,,19
BB 619,Main,10.0,11.0,,1.0,9.0,2.0,,,,,,,,,33
BB 633,Main,1.0,4.0,,,5.0,3.0,3.0,1.0,2.0,,,,,,19
BB 638,Main,9.0,12.0,,,10.0,1.0,4.0,,1.0,,1.0,,,,38
BB 638,M,3.0,2.0,,,,,,,,,,,,,5
BB 647,Main,1.0,2.0,,,1.0,,,,,,,,,,4
BB 653,Main,8.0,17.0,,,7.0,,,,,,,,,,32
BB 659,Main,3.0,5.0,,,,,,,,,,,,,8
BB 661,Main,3.0,5.0,,,12.0,9.0,1.0,,1.0,,,,,,31
BB 663,Main,7.0,7.0,,,9.0,11.0,1.0,3.0,,,1.0,,,,39
BB 663,M,,1.0,,,,,,,,,,,,,1
BB 665,Main,8.0,13.0,,,9.0,1.0,1.0,1.0,1.0,,,,,,34
BB 669,Main,6.0,1.0,,,3.0,5.0,1.0,,,,,,,,16
BB 679,Main,7.0,22.0,,,7.0,10.0,1.0,,,,,,,,47
