Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,FF,FR,II,NP,PP,Total
MA 110,D4,56.0,75.0,2.0,,76.0,57.0,25.0,13.0,6.0,16.0,,5.0,,,331
MA 214,Main,1.0,8.0,,,3.0,5.0,1.0,,,,,,,,18
MA 406,Main,1.0,5.0,,,3.0,11.0,19.0,8.0,7.0,,6.0,,,,60
MA 406,M,,1.0,,,1.0,1.0,,,1.0,,,,,,4
MA 408,Main,9.0,16.0,,1.0,13.0,13.0,9.0,2.0,3.0,,,3.0,,,69
MA 410,Main,9.0,13.0,1.0,2.0,14.0,5.0,7.0,8.0,3.0,,2.0,1.0,,,65
MA 412,Main,8.0,13.0,1.0,,14.0,13.0,8.0,8.0,3.0,,1.0,,,,69
MA 412,M,,,,,1.0,,,,,,,,,,1
MA 414,Main,9.0,13.0,1.0,,8.0,11.0,6.0,6.0,6.0,,5.0,1.0,,,66
MA5106,Main,2.0,1.0,,,7.0,10.0,7.0,5.0,,,1.0,,,,33
MA5106,M,2.0,3.0,,,7.0,3.0,2.0,,1.0,,1.0,,,,19
MA5108,Main,3.0,3.0,,,2.0,12.0,3.0,2.0,3.0,,1.0,,,,29
MA5110,Main,4.0,8.0,,,6.0,2.0,5.0,9.0,18.0,,3.0,,,,55
MA5114,Main,5.0,,,,,,,,,,,2.0,,,7
MA5118,Main,3.0,4.0,,1.0,3.0,,,,,,,,,,11
MA 534,Main,1.0,1.0,,,3.0,,,,,,1.0,,,,6
MA 589,Main,1.0,,,,,,,,,,,,,,1
MA 598,Main,13.0,2.0,,,1.0,1.0,,,1.0,,,,,,18
MA 599,Main,,,,,1.0,,,,,,,,,,1
MA 812,Main,3.0,2.0,,,,3.0,3.0,,,,,,,,11
MA 816,Main,,2.0,,1.0,,1.0,1.0,,,,,,,,5
MA 818,Main,2.0,,,,,,1.0,,,,,,,,3
MA 820,Main,5.0,,,1.0,1.0,1.0,,1.0,,,,,,,9
MA 823,Main,2.0,2.0,,,3.0,6.0,1.0,1.0,1.0,,2.0,,,,18
MA 824,Main,6.0,7.0,,1.0,8.0,5.0,1.0,,,,,,,,28
MA 842,Main,3.0,,,,,,,,,,,,,,3
MA 844,Main,2.0,1.0,,1.0,,,,,,,,,,,4
MA 848,Main,2.0,,,3.0,,,,,,,,,,,5
MA 854,Main,3.0,,,,,,,,,,,,,,3
MA 860,Main,3.0,,,,,,,,,,,,,,3
MA 862,Main,,1.0,,,2.0,1.0,,,,,,,,,4
MA 867,Main,1.0,1.0,,,2.0,,,,,,,,,,4
MAS802,Main,9.0,1.0,,,2.0,,,,,,,,,,12
SI 404,Main,4.0,7.0,,,19.0,17.0,9.0,5.0,10.0,,2.0,4.0,,,77
SI 404,M,3.0,1.0,,,4.0,2.0,,2.0,2.0,,,,,,14
SI 416,Main,23.0,40.0,1.0,,41.0,30.0,27.0,7.0,10.0,,5.0,,,,184
SI 416,M,,2.0,,,5.0,1.0,2.0,1.0,,,,,,,11
SI 422,Main,5.0,8.0,,,11.0,15.0,4.0,2.0,,,,,,,45
SI 424,Main,55.0,10.0,,,4.0,,,,1.0,,1.0,,,,71
SI 426,Main,9.0,10.0,,,12.0,15.0,7.0,3.0,5.0,,,,,,61
SI 509,Main,3.0,7.0,,,8.0,7.0,8.0,5.0,4.0,,,,,,42
SI 526,Main,18.0,9.0,,,6.0,1.0,4.0,,2.0,,,,,,40
SI 527,Main,29.0,9.0,1.0,,1.0,7.0,12.0,4.0,2.0,,,,,,65
SI 527,M,16.0,,1.0,,2.0,1.0,1.0,,,,,,,,21
SI 534,Main,2.0,7.0,,,14.0,11.0,4.0,2.0,,,,,,,40
SI 543,Main,1.0,4.0,,,6.0,16.0,6.0,7.0,,,,,,,40
SI 598,Main,12.0,10.0,,,4.0,1.0,1.0,,,,,,,,28
ME 104,S1,29.0,30.0,,,29.0,16.0,8.0,2.0,2.0,,1.0,2.0,,,119
ME 104,S2,28.0,30.0,,,25.0,15.0,9.0,2.0,2.0,,,,,,111
ME 213,S1,19.0,34.0,,,3.0,2.0,,1.0,1.0,,2.0,,,,62
ME 213,S2,12.0,38.0,,,11.0,4.0,1.0,,,,,,,,66
ME 213,S3,9.0,38.0,,,13.0,4.0,2.0,,,,,1.0,,,67
ME 219,S1,8.0,14.0,1.0,,12.0,12.0,18.0,3.0,1.0,1.0,4.0,1.0,,,75
ME 219,S2,7.0,9.0,,,8.0,7.0,8.0,7.0,7.0,,13.0,,,,66
ME 219,S3,8.0,14.0,,,21.0,11.0,2.0,2.0,6.0,,5.0,1.0,,,70
ME 224,Main,1.0,,,,,,,,,,,,,,1
